Part,Semester,Course,Units
Part 1,Semester 1,CHM 101,4
Part 1,Semester 1,MTH 101,5
Part 1,Semester 1,PHY 101,4
Part 1,Semester 1,PHY 107,1
Part 1,Semester 1,CHM 103,1
Part 1,Semester 1,TPD 101,1
Part 1,Semester 2,CHM 102,4
Part 1,Semester 2,MTH 102,5
Part 1,Semester 2,PHY 102,4
Part 1,Semester 2,PHY 108,1
Part 1,Semester 2,CHM 104,1
Part 1,Semester 2,MTH 104,2
Part 1,Semester 2,SER 001,2
Part 2,Semester 1,MTH 201,4
Part 2,Semester 1,MEE 203,2
Part 2,Semester 1,MSE 201,3
Part 2,Semester 1,MEE 205,3
Part 2,Semester 1,CSC 201,3
Part 2,Semester 1,CHE 201,3
Part 2,Semester 1,EEE 201,2
Part 2,Semester 1,EEE 291,1
Part 2,Semester 1,CHM 205,1
Part 2,Semester 2,MTH 202,4
Part 2,Semester 2,MEE 204,2
Part 2,Semester 2,CVE 202,3
Part 2,Semester 2,CSC 208,2
Part 2,Semester 2,EEE 202,2
Part 2,Semester 2,EEE 292,1
Part 2,Semester 2,AGE 202,2
Part 2,Semester 2,CHE 202,3
Part 3,Semester 1,MEE 303,3
Part 3,Semester 1,CHE 303,3
Part 3,Semester 1,CHE 301,3
Part 3,Semester 1,CHE 305,3
Part 3,Semester 1,CHM 201,4
Part 3,Semester 1,CHM 203,4
Part 3,Semester 2,CHE 306,3
Part 3,Semester 2,AGE 302,3
Part 3,Semester 2,CHE 308,3
Part 3,Semester 2,CHE 310,3
Part 3,Semester 2,CHE 312,3
Part 3,Semester 2,CHM 202,4
Part 3,Semester 2,CHM 206,1
Part 3,Semester 2,CHM 208,2
Part 4,Semester 1,CHE 405,3
Part 4,Semester 1,CHE 407,3
Part 4,Semester 1,CHE 409,3
Part 4,Semester 1,CHE 411,3
Part 4,Semester 1,CHM 301,2
Part 4,Semester 1,CHM 311,2
Part 4,Semester 1,CVE 401,2
Part 4,Semester 1,TPD 501,2
Part 4,Semester 2,CHE 200,3
Part 4,Semester 2,CHE 300,3
Part 4,Semester 2,CHE 402,9
Part 5,Semester 1,CHE 503,2
Part 5,Semester 1,CHE 505,2
Part 5,Semester 1,CHE 507,3
Part 5,Semester 1,CHE 509,3
Part 5,Semester 1,CHE 519,3
Part 5,Semester 1,CHE 521,3
Part 5,Semester 1,TPD 503,2
Part 5,Semester 1,CHE 511,3
Part 5,Semester 1,CHE 513,3
Part 5,Semester 1,CHE 515,3
Part 5,Semester 1,CHE 517,3
Part 5,Semester 1,MEE 515,3
Part 5,Semester 2,CHE 502,3
Part 5,Semester 2,CHE 504,2
Part 5,Semester 2,CHE 506,3
Part 5,Semester 2,CHE 508,3
Part 5,Semester 2,CHE 510,3
Part 5,Semester 2,CHE 518,3
Part 5,Semester 2,TPD 502,2
Part 5,Semester 2,CHE 512,3
Part 5,Semester 2,CHE 514,3
Part 5,Semester 2,CHE 516,3
